name,code,category,enabled,manual_threshold
ELEMENTS,5246,政府・AI,false,
ABEJA,5574,政府・AI,false,
Ridge-i,5572,政府・AI,false,
ヘッドウォータース,4011,政府・AI,false,
Fusic,5256,政府・AI,false,
フィックスターズ,3687,政府・AI,false,
エクサウィザーズ,4259,政府・AI,false,
PKSHA Technology,3993,政府・AI,false,
AI inside,4488,政府・AI,false,
Laboro.AI,5586,政府・AI,false,
HEROZ,4382,政府・AI,false,
グリッド,5582,政府・AI,false,
オプティム,3694,政府・AI,false,
JDSC,4418,政府・AI,false,
データセクション,3905,政府・AI,false,
さくらインターネット,3778,政府・AI,false,
ジーデップ・アドバンス,5885,政府・AI,false,
FIXER,5129,政府・AI,false,
サイバートラスト,4498,政府・AI,false,
FFRIセキュリティ,3692,政府・AI,false,
サイバーセキュリティクラウド,4493,政府・AI,false,
網屋,4258,政府・AI,false,
ブロードバンドセキュリティ,4398,政府・AI,false,
ソリトンシステムズ,3040,政府・AI,false,
グローバルセキュリティエキスパート,4417,政府・AI,false,
セグエグループ,3968,政府・AI,false,
HENNGE,4475,政府・AI,false,
GMOグローバルサイン・ホールディングス,3788,政府・AI,false,
セキュア,4264,政府・AI,false,
サーバーワークス,4434,政府・AI,false,
BeeX,4270,政府・AI,false,
テラスカイ,3915,政府・AI,false,
システムサポートホールディングス,4396,政府・AI,false,
ARアドバンストテクノロジ,5578,政府・AI,false,
JIG-SAW,3914,政府・AI,false,
アストロスケールHD,186A,宇宙・ドローン,false,
Synspective,290A,宇宙・ドローン,false,
QPSホールディングス,464A,宇宙・ドローン,false,
ispace,9348,宇宙・ドローン,false,
Terra Drone,278A,宇宙・ドローン,false,
ACSL,6232,宇宙・ドローン,false,
Liberaware,218A,宇宙・ドローン,false,
Kudan,4425,宇宙・ドローン,false,
セーフィー,4375,宇宙・インフラ,false,
アイサンテクノロジー,4667,宇宙・インフラ,false,
ゼンリン,9474,宇宙・インフラ,false,
エコモット,3987,宇宙・インフラ,false,
ウェザーニューズ,4825,宇宙・インフラ,false,
スパイダープラス,4192,宇宙・インフラ,false,
IMV,7760,宇宙・インフラ,false,
ウエスコホールディングス,6091,宇宙・インフラ,false,
フコク,5185,宇宙・インフラ,false,
シンフォニアテクノロジー,6507,宇宙・インフラ,false,
イーグル工業,6486,宇宙・インフラ,false,
技研製作所,6289,宇宙・インフラ,false,
ジャパンエンジンコーポレーション,6016,防衛,false,
東京計器,7721,防衛,false,
日本アビオニクス,6946,防衛,false,
石川製作所,6208,防衛,false,
豊和工業,6203,防衛,false,
細谷火工,4274,防衛,false,
多摩川ホールディングス,6838,防衛,false,
新明和工業,7224,防衛,false,
QDレーザ,6613,センサー・通信,false,
santec Holdings,6777,センサー・通信,false,
アンリツ,6754,センサー・通信,false,
小野測器,6858,センサー・通信,false,
KLab,3656,ゲーム,false,
enish,3667,ゲーム,false,
オルトプラス,3672,ゲーム,false,
アエリア,3758,ゲーム,false,
ケイブ,3760,ゲーム,false,
ドリコム,3793,ゲーム,false,
サイバーステップ,3810,ゲーム,false,
日本一ソフトウェア,3851,ゲーム,false,
gumi,3903,ゲーム,false,
Aiming,3911,ゲーム,false,
モバイルファクトリー,3912,ゲーム,false,
マイネット,3928,ゲーム,false,
アカツキグループ,3932,ゲーム,false,
エディア,3935,ゲーム,false,
アピリッツ,4174,ゲーム,false,
coly,4175,ゲーム,false,
ワンダープラネット,4199,ゲーム,false,
バンク・オブ・イノベーション,4393,ゲーム,false,
イマジニア,4644,ゲーム,false,
東京通信グループ,7359,ゲーム,false,
マーベラス,7844,ゲーム,false,
ブシロード,7803,ゲーム,false,
IGポート,3791,ゲーム,false,
日本ファルコム,3723,ゲーム,false,
